ID,H,B,C,T,R
C100X40X15,100,40,15,3,8
C140X70X30,140,70,30,3,8
C160X70X30,160,70,30,3,8
C160X80X34,160,80,34,3,8
C160X80X34,160,80,34,3.65,8
C160X80X34,160,80,34,4,8
C160X80X30,160,80,30,4,8
C180X80X35,180,80,35,3.6,8
C180X80X25,180,80,25,4,8
C100X50X25,100,50,25,2,8
C200X60X20,200,60,20,2,8
C250X70X20,250,70,20,2,8
C185X60X25,185,60,25,1.5,8
C185X60X26.4,185,60,26.4,2,8
C185X60X27.7,185,60,27.7,2.5,8
C185X60X29.1,185,60,29.1,3,8
C215X60X25,215,60,25,1.5,8
C215X60X26.4,215,60,26.4,2,8
C215X60X27.7,215,60,27.7,2.5,8
C215X60X29.1,215,60,29.1,3,8
